epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,9901.07,0.91925,0.37915,1.04561,0.98669,0.94715,0.9773,0.71715,1.047,0.36287,1.076,0.000252,0.000252,0.000252
70,10043.5,0.90787,0.36936,1.04686,0.98079,0.95388,0.97832,0.7205,1.04804,0.36113,1.07676,0.000241,0.000241,0.000241
71,10185,0.91091,0.3702,1.04569,0.98812,0.94748,0.97808,0.72002,1.05071,0.36312,1.07873,0.00023,0.00023,0.00023
72,10326.2,0.91379,0.36865,1.04703,0.98718,0.947,0.97796,0.71763,1.05407,0.36544,1.0801,0.000219,0.000219,0.000219
73,10467.7,0.90043,0.36379,1.04424,0.98301,0.95125,0.97751,0.71666,1.0528,0.36487,1.08111,0.000208,0.000208,0.000208
74,10608.9,0.89627,0.36452,1.04642,0.98885,0.9467,0.97825,0.7182,1.05401,0.36207,1.08113,0.000197,0.000197,0.000197
75,10750.7,0.89568,0.36424,1.04052,0.98878,0.94715,0.9786,0.71789,1.05561,0.36214,1.08215,0.000186,0.000186,0.000186
76,10891.6,0.90035,0.36222,1.0446,0.98391,0.95125,0.97827,0.71727,1.05451,0.36197,1.08054,0.000175,0.000175,0.000175
77,11033,0.88232,0.35617,1.03366,0.98585,0.94989,0.97906,0.71921,1.05609,0.36072,1.07962,0.000164,0.000164,0.000164
78,11174.3,0.88381,0.35483,1.03897,0.97929,0.9549,0.97901,0.71838,1.05697,0.36267,1.08066,0.000153,0.000153,0.000153
79,11315.7,0.87998,0.35501,1.03078,0.98385,0.95262,0.97927,0.71859,1.05768,0.36107,1.0793,0.000142,0.000142,0.000142
80,11456.8,0.8779,0.35549,1.02865,0.98357,0.95438,0.97925,0.72033,1.05741,0.35924,1.07864,0.000131,0.000131,0.000131
81,11599,0.85385,0.31598,1.0064,0.98353,0.95223,0.979,0.71977,1.05842,0.36082,1.08253,0.00012,0.00012,0.00012
