frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
29,1.0,[2181.792931689869 1291.9055847498114 2873.664165596868 1928.2139756141494],[2444.848388671875 1744.6776123046875 2630.40576171875 1801.0235595703125],0.7233670949935913,HU51VSU,0.23522276072409784
29,6.0,[1158.64182145033 1095.4824619762778 1743.5943846444225 1539.4842912272763],[1361.1234130859375 1378.7403564453125 1512.5108642578125 1428.042236328125],0.6331740021705627,GU15QCJ,0.10248382762529316
30,1.0,[2181.898957989718 1301.696599026108 2876.076323541003 1938.0918950584721],[2451.353271484375 1766.2144775390625 2632.380859375 1818.9613037109375],0.25463882088661194,HU51VSU,0.32512876891143877
31,1.0,[2184.566480459925 1306.6206541061051 2881.146160262783 1944.8899037247907],[2449.65478515625 1756.7841796875 2632.081298828125 1813.28173828125],0.730067253112793,CZ51VSU,0.11613275125773781
32,1.0,[2185.96538297847 1311.2045315502764 2885.7863060014506 1953.1044290180403],[2450.465087890625 1767.33837890625 2633.859130859375 1820.1884765625],0.7108122110366821,HU51VSU,0.12589199929754646
33,1.0,[2183.7145947752633 1316.6011119495865 2887.9920271242017 1963.142214124333],[2456.406494140625 1782.2874755859375 2627.771484375 1824.6434326171875],0.2868650257587433,MT51TSU,0.23138545772395866
34,1.0,[2182.9030560025194 1321.2685842523408 2890.011893477994 1969.9321912845892],[2451.87890625 1778.427978515625 2639.88916015625 1833.7071533203125],0.6567744612693787,NV51VSU,0.26475482656949806
35,1.0,[2182.8632765886455 1325.061210066324 2889.6647738859724 1976.1824870758144],[2456.3037109375 1785.84521484375 2644.62109375 1845.681884765625],0.7094108462333679,ND51TSU,0.07290751406200112
39,1.0,[2192.3948070350034 1348.3587278151738 2907.428111513869 2010.1557508267017],[2460.085205078125 1816.9244384765625 2651.128662109375 1874.3038330078125],0.6225404143333435,NU51VSU,0.12655012747060743
41,1.0,[2192.3354838963073 1359.8362206864208 2918.312714579028 2024.7310547301772],[2461.9755859375 1832.94140625 2655.818359375 1889.7509765625],0.7276725769042969,NU51VSU,0.19837404477664597
43,1.0,[2191.872037264494 1365.8149686206725 2926.4330919775857 2036.3247303530184],[2464.986572265625 1842.449462890625 2659.245361328125 1902.6951904296875],0.7296534180641174,MF51VSU,0.11071780488352896
44,1.0,[2194.4422974507916 1370.7116737402962 2931.6001840836343 2044.9293392903855],[2469.05908203125 1851.5928955078125 2662.743896484375 1910.2767333984375],0.7541277408599854,NU51VSU,0.26824237396062506
46,1.0,[2197.56990674568 1380.2009616862724 2944.2110837395903 2062.7844050720796],[2471.96484375 1879.4337158203125 2654.373779296875 1919.7344970703125],0.2668461203575134,AV51VSU,0.3487708457473579
47,1.0,[2196.898914819063 1384.391437825102 2947.408018738638 2071.172007298751],[2478.926513671875 1884.421630859375 2665.36279296875 1921.5953369140625],0.28956493735313416,HU61YSI,0.12922048999746769
48,1.0,[2195.952720558795 1396.5040266197716 2949.075105495977 2083.5683131751357],[2480.57666015625 1884.3892822265625 2672.079345703125 1943.7542724609375],0.7332375645637512,NV51YSU,0.18519932649360576
53,1.0,[2201.439906982138 1424.6838069153591 2971.8410309468886 2124.388600534608],[2488.82373046875 1925.724609375 2689.062744140625 1984.131591796875],0.7396767735481262,NT51TSV,0.04782982541857336
54,6.0,[1088.611043570413 1185.2901711593115 1716.3460940559905 1661.6394404082569],[1320.9862060546875 1497.306884765625 1472.8919677734375 1547.731201171875],0.6105222702026367,CX15OGJ,0.09522442467189582
56,1.0,[2202.895190459667 1444.163335478089 2981.6150565982016 2146.326535760696],[2493.50341796875 1950.432861328125 2693.91748046875 2008.84716796875],0.7370421290397644,CO51VSU,0.059941415992030934
57,6.0,[1079.215879929203 1197.1616634055265 1713.8382920587271 1677.1699631170602],[1314.34912109375 1510.764404296875 1468.2763671875 1556.010498046875],0.6419692039489746,GX15OGJ,0.21296323063258216
60,6.0,[1069.4695399582226 1210.8402327268448 1713.1550229521056 1695.184075960157],[1312.68310546875 1522.689453125 1465.830322265625 1574.784423828125],0.6046391725540161,GY15OGJ,0.3804729128978554
61,1.0,[2209.4776196021253 1475.6702980654463 2989.0920249707947 2159.351653893985],[2505.552001953125 1987.5457763671875 2709.166259765625 2050.388671875],0.7400365471839905,HV51VSU,0.11601996621152079
62,1.0,[2209.4599374501827 1481.10194242755 2989.1023439383393 2159.2828971189588],[2506.07080078125 2001.8306884765625 2711.4990234375 2060.01025390625],0.7448399662971497,MW51VSU,0.27356939204187103
63,6.0,[1063.4033136424805 1223.8264338954734 1711.9645636359842 1710.2424806148272],[1304.4620361328125 1540.7369384765625 1468.871337890625 1589.5938720703125],0.4995450973510742,GX15OGJ,0.4968342682385381
64,1.0,[2212.3783394167954 1495.5779830483332 2995.778171842728 2160.8339920831195],[2511.42041015625 2017.559326171875 2714.51904296875 2074.992919921875],0.6966050863265991,MI51VSU,0.3114754219278155
64,6.0,[1060.4611477274216 1227.5758092420986 1711.7746238718573 1713.9349134116212],[1304.6619873046875 1544.2364501953125 1470.719970703125 1593.2340087890625],0.6031153202056885,GX15OGJ,0.19084830703527378
71,6.0,[1031.6437134906487 1259.072713212184 1702.9194006766825 1756.5623928605116],[1287.3746337890625 1585.682861328125 1449.2935791015625 1635.9815673828125],0.3152223527431488,GX15OGJ,0.5653976137485829
73,1.0,[2228.6813002318268 1551.0633010472984 3032.273089108693 2158.375965082385],[2529.781005859375 2099.94287109375 2741.0576171875 2154.8056640625],0.7715759873390198,HT51VSU,0.2243664202373178
